Prompt,Output
{subject} playing electric bass guitar on a stage,{subject}/{subject}_bass1.jpg
{subject} playing electric guitar on a stage with colored spotlights in the background and dramatic lighting,{subject}/{subject}_eguitar1.jpg
{subject} playing electric guitar on stage with colored spotlights. {subject} is wearing a sleeveless shirt and tattoos on her arms. {subject}'s arms are up in the air giving the rock on symbol,{subject}/{subject}_eguitar2.jpg
{subject} playing an acoustic guitar wearing a cowboy hat and a dirndl dress,{subject}/{subject}_acoustic_cowboy_dirndl.jpg
{subject} playing an acoustic guitar wearing a cowboy hat and lederhosen,{subject}/{subject}_acoustic_cowboy_lederhosen.jpg
{subject} playing an acoustic guitar wearing a long red dress flowing in the air on a stage with lasers,{subject}/{subject}_acoustic_redDress.jpg
"{subject} playing an electric guitar. {subject} is wearing a leather jacket with studs, a black cowboy hat and the background is full of red and blue lasers and smokey lights",{subject}/{subject}_leatherJacketStuds.jpg
{subject} playing electric guitar. {subject} is wearing a tanktop shirt and there are tattoos all over his arms. {subject} arms are up in the air giving a rock on symbol with pyrotechnics in the background,{subject}/{subject}_eguitar3.jpg
{subject} playing drums on a rock stage with arms up in the air holding drum sticks as water splashes. Lighting is dramatic. {subject} is crinching her nose,{subject}/{subject}_drums1.jpg
{subject} singing into a microphone on a stage with hands up in the air. {subject} is wearing bright blue long dress,{subject}/{subject}_singing_blueDress.jpg
{subject} singing into a microphone on a stage with hands up in the air. {subject} is wearing sparkling red jacket and cut jeans,{subject_singing_redJacket.jpg
{subject} playing trumpet in a jazz club with dark dramatic lighting and a blue lighting and a band in the background,{subject}/{subject}_trumpet1.jpg
{subject} playing a trombone in a jazz club with dark dramatic lighting and a blue lighting and a band in the background,{subject}/{subject}_trombone.jpg
wideangle of {subject} playing accordion in a jazz club with dark dramatic lighting and a blue lighting and a band in the background,{subject}/{subject}_accordion.jpg
